类别,方剂名称,组成（原方剂量 + 现代参考量）,用法,功用,主治,证治机理,方解（君臣佐使）,配伍特点,运用（辨证要点 + 禁忌）
安神剂?滋养安神,天王补心丹,人参、茯苓、玄参、丹参、桔梗、远志、当归、五味、麦冬、天冬、柏子仁、酸枣仁、生地、朱砂,为丸，朱砂为衣,滋阴清热，养血安神,阴虚血少，神志不安证：心悸怔忡，虚烦失眠，神疲健忘，手足心热，舌红少苔，脉细数,心肾阴虚，虚火内扰，心神失养,君：生地；臣：天冬、麦冬、玄参、当归、丹参；佐：人参、茯苓、柏子仁、酸枣仁、五味、远志；使：桔梗、朱砂,滋阴养血，补心安神，兼清虚热,要点：心悸失眠、手足心热、舌红少苔；脾胃虚寒、痰湿内盛慎用
安神剂?滋养安神,酸枣仁汤,酸枣仁、甘草、知母、茯苓、川芎,水煎服,养血安神，清热除烦,肝血不足，虚热内扰证：虚烦失眠，心悸不安，头目眩晕，咽干口燥，舌红，脉弦细,肝血不足，虚热内生，心神不安,君：酸枣仁；臣：茯苓、知母；佐：川芎；使：甘草,养血安神，清热除烦，调肝和血,要点：虚烦失眠、头晕、咽干、脉弦细；痰热失眠禁用
安神剂?调和心脾,甘麦大枣汤,甘草、小麦、大枣,水煎服,养心安神，和中缓急,脏躁：精神恍惚，常悲伤欲哭，不能自主，心中烦乱，睡眠不安，甚则言行失常，呵欠频作，舌淡红苔少,忧思过度，心阴受损，肝气失和,君：小麦；臣：甘草；佐：大枣,养心缓急，甘润平和，无峻烈之品,要点：悲伤欲哭、精神恍惚、舌淡红；痰火扰心禁用
开窍剂?凉开,安宫牛黄丸,牛黄、郁金、黄连、朱砂、山栀、雄黄、黄芩、水牛角、冰片、麝香、珍珠、金箔衣,为丸，温开水送下,清热解毒，开窍醒神,邪热内陷心包证：高热烦躁，神昏谵语，口干舌燥，痰涎壅盛，舌红或绛，脉数；亦治中风昏迷，小儿惊厥,温热毒邪内陷心包，痰热蒙蔽清窍,君：牛黄、麝香、水牛角；臣：黄连、黄芩、栀子、郁金、冰片；佐：朱砂、珍珠、雄黄、金箔,清心解毒，开窍醒神，豁痰镇惊,要点：高热神昏、舌红绛、脉数；寒闭、脱证禁用
开窍剂?凉开,紫雪,石膏、寒水石、滑石、磁石、水牛角、羚羊角、木香、沉香、玄参、升麻、甘草、丁香、朴硝、硝石、麝香、朱砂,为散，温水送下,清热开窍，息风止痉,热闭心包，热盛动风证：高热烦躁，神昏谵语，痉厥，口渴唇焦，尿赤便闭，舌红绛苔干黄，脉数有力,热邪炽盛，内陷心包，引动肝风,君：水牛角、羚羊角、麝香；臣：石膏、寒水石、滑石、玄参、升麻；佐：木香、沉香、丁香、磁石、硝石、朴硝；使：朱砂、甘草,清热开窍，兼息风止痉，通便泻火,要点：高热神昏、痉厥、舌红绛；虚风内动、脱证禁用
开窍剂?凉开,至宝丹,生乌犀角、生玳瑁、琥珀、朱砂、雄黄、牛黄、龙脑、麝香、安息香、金银箔,为丸，人参汤或温水送下,化浊开窍，清热解毒,痰热内闭心包证：神昏谵语，身热烦躁，痰盛气粗，舌红苔黄垢腻，脉滑数,痰热秽浊蒙蔽心包，清窍闭塞,君：麝香、牛黄、水牛角；臣：玳瑁、琥珀、安息香、冰片；佐：朱砂、雄黄、金银箔,开窍化浊为主，清热解毒为辅,要点：神昏痰盛、苔黄垢腻、脉滑数；寒闭、脱证禁用
开窍剂?温开,苏合香丸,苏合香、龙脑、麝香、安息香、青木香、香附、白檀香、丁香、沉香、荜茇、犀角、朱砂、诃黎勒、乳香,为丸，温酒送下,芳香开窍，行气止痛,寒闭证：突然昏倒，牙关紧闭，不省人事，苔白，脉迟；亦治心腹卒痛，甚则昏厥,寒邪秽浊，闭阻机窍，气机郁滞,君：苏合香、麝香、冰片、安息香；臣：木香、香附、檀香、丁香、沉香、荜茇、乳香；佐：水牛角、朱砂、诃子,芳香温通，开窍行气，散寒止痛,要点：突然昏倒、苔白脉迟；热闭、脱证禁用
理气剂?行气,越鞠丸,香附、川芎、苍术、栀子、神曲各等分（各 6～10g）,水煎服,行气解郁,六郁证：胸膈痞闷，脘腹胀痛，嗳腐吞酸，恶心呕吐，饮食不消,气、血、痰、火、湿、食郁滞，气机不畅,君：香附；臣：川芎、苍术、栀子、神曲,五药治六郁，重在调气,要点：胸脘痞闷胀痛；阴虚火旺慎用
理气剂?行气,柴胡疏肝散,柴胡、陈皮、川芎、香附、枳壳、芍药、炙甘草,水煎服,疏肝解郁，行气止痛,肝气郁滞证：胁肋疼痛，胸闷太息，脘腹胀痛，脉弦,肝气郁结，气机阻滞，血行不畅,君：柴胡；臣：香附、川芎；佐：枳壳、芍药；使：炙甘草,疏肝理气，兼活血止痛,要点：胁痛、脉弦；阴虚气滞者慎用
理气剂?行气,四磨汤,人参、槟榔、沉香、天台乌药,水煎服,行气降逆，宽胸散结,肝气郁结证：胸膈胀闷，上气喘急，心下痞满，不思饮食,肝气郁滞，横逆犯肺胃，气机上逆,君：乌药、沉香；臣：槟榔；佐：人参,行气而不伤正，降逆兼扶正,要点：胸腹胀闷、气逆；气虚阴亏慎用
理气剂?行气,瓜蒌薤白白酒汤,瓜蒌实、薤白、白酒,水煎服,通阳散结，行气祛痰,胸痹：胸背痛，短气，寸口脉沉迟，关上小紧数,胸阳不振，痰浊内阻，气机痹阻,君：瓜蒌；臣：薤白；佐：白酒,通阳散结，行气祛痰,要点：胸背痛、短气；阴虚痰热慎用
理气剂?行气,瓜蒌薤白半夏汤,瓜蒌、薤白、半夏、白酒,水煎服,通阳散结，祛痰宽胸,胸痹而痰浊较甚：胸痛彻背，不能安卧,胸阳不振，痰浊壅盛，痹阻胸阳,君：瓜蒌；臣：薤白、半夏；佐：白酒,祛痰散结之力更强,要点：胸痛彻背、不能卧
理气剂?行气,枳实薤白桂枝汤,枳实、厚朴、薤白、桂枝、瓜蒌,水煎服,通阳散结，下气祛痰,胸痹：气结在胸，胸满，胁下逆气抢心,胸阳不振，痰气互结，气机逆乱,君：瓜蒌、薤白；臣：枳实、厚朴；佐：桂枝,通阳散结，平冲降逆,要点：胸满、气逆抢心
理气剂?行气,半夏厚朴汤,半夏、厚朴、茯苓、生姜、苏叶,水煎服,行气散结，降逆化痰,梅核气：咽中如有物阻，咯吐不出，吞咽不下，胸胁满闷,痰气郁结于咽喉，气机不畅,君：半夏；臣：厚朴；佐：茯苓、生姜、苏叶,行气化痰，散结开郁,要点：咽中异物感；阴亏津少慎用
理气剂?行气,厚朴温中汤,厚朴、陈皮、甘草、茯苓、草豆蔻、木香、干姜、生姜,水煎服,行气温中，燥湿除满,脾胃寒湿气滞证：脘腹胀满，不思饮食，四肢倦怠，舌苔白腻,脾胃气滞，寒湿内阻，运化失常,君：厚朴；臣：陈皮、草蔻；佐：茯苓、木香、干姜；使：甘草,温中行气，燥湿除满,要点：脘腹胀满、苔白腻
理气剂?行气,天台乌药散,乌药、木香、小茴香、青皮、高良姜、槟榔、川楝子、巴豆制,水煎服,行气疏肝，散寒止痛,肝经寒凝气滞：小肠疝气，少腹引控睾丸而痛，偏坠肿胀,寒凝肝脉，气机阻滞，经脉不通,君：乌药；臣：青皮、茴香、良姜；佐：木香、槟榔、川楝子,行气散寒，止痛散结,要点：少腹疝痛、畏寒；湿热下注禁用
理气剂?行气,暖肝煎,当归、枸杞、小茴香、肉桂、乌药、沉香、茯苓,水煎服,温补肝肾，行气止痛,肝肾不足，寒滞肝脉：睾丸冷痛，小腹疼痛，疝气痛,肝肾阳虚，寒凝气滞，经脉不利,君：肉桂、小茴香；臣：当归、枸杞；佐：乌药、沉香、茯苓,温补肝肾，行气散寒,要点：睾丸冷痛、畏寒；湿热疝痛禁用
理气剂?行气,橘核丸,橘核、海藻、昆布、海带、川楝子、桃仁、厚朴、木通、枳实、延胡索、桂心、木香,为丸服,行气止痛，软坚散结,寒湿疝气：睾丸肿胀偏坠，或坚硬如石，痛引脐腹,寒湿客于肝经，气血痰浊瘀滞,君：橘核；臣：川楝、延胡、桃仁；佐：桂心、木香、海藻等,行气活血，软坚散结,要点：睾丸肿硬疼痛
理气剂?降气,苏子降气汤,紫苏子、半夏、当归、甘草、前胡、厚朴、肉桂、生姜、大枣,水煎服,降气平喘，祛痰止咳,上实下虚喘咳：痰涎壅盛，喘咳短气，胸膈满闷，腰疼脚弱,上盛痰壅，下元不足，肾不纳气,君：苏子；臣：半夏、厚朴、前胡；佐：肉桂、当归；使：甘草、姜枣,降气祛痰，温肾纳气,要点：喘咳痰多、腰酸；肺热痰壅禁用
理气剂?降气,定喘汤,白果、麻黄、苏子、甘草、款冬花、杏仁、桑白皮、黄芩、半夏,水煎服,宣降肺气，清热化痰,风寒外束，痰热内蕴：咳喘痰多，气急，痰黄黏稠，微恶风寒,风寒束表，痰热内蕴，肺失宣降,君：麻黄、白果；臣：苏子、杏仁、款冬；佐：桑皮、黄芩、半夏；使：甘草,宣降清敛并用，化痰平喘,要点：咳喘痰黄、微恶寒；肺虚咳喘慎用
理气剂?降气,旋覆代赭汤,旋覆花、人参、生姜、代赭石、甘草、半夏、大枣,水煎服,降逆化痰，益气和胃,胃虚痰阻气逆：胃脘痞闷，嗳气频作，反胃呕吐,胃虚气逆，痰浊内阻，和降失常,君：旋覆花；臣：代赭石、半夏；佐：生姜、人参；使：甘草、大枣,降逆而不伤胃，化痰兼益气,要点：嗳气、痞闷、呕吐
理气剂?降气,橘皮竹茹汤,橘皮、竹茹、大枣、生姜、甘草、人参,水煎服,降逆止呃，益气清热,胃虚有热之呃逆：呃逆或干呕，虚烦少气，口干,胃虚有热，气逆不降,君：橘皮、竹茹；臣：生姜；佐：人参；使：甘草、大枣,清而不寒，补而不滞,要点：呃逆、口干、虚烦
理气剂?降气,丁香柿蒂汤,丁香、柿蒂、人参、生姜,水煎服,温中益气，降逆止呃,胃气虚寒呃逆：呃声低微，胃脘痞闷，畏寒肢冷,胃气虚寒，气逆上冲,君：丁香、柿蒂；臣：生姜；佐：人参,温中降逆，益气和胃,要点：呃声低微、畏寒；热呃禁用
理血剂?活血行气,桃核承气汤,桃仁、大黄、桂枝、甘草、芒硝,水煎服,逐瘀泻热,下焦蓄血证：少腹急结，小便自利，谵语烦渴，至夜发热,瘀热互结下焦，血行不畅,君：桃仁、大黄；臣：桂枝；佐：芒硝；使：甘草,破血逐瘀，兼泻热,要点：少腹急结、瘀热；孕妇慎用
理血剂?活血逐瘀,血府逐瘀汤,桃仁、红花、当归、生地、川芎、赤芍、牛膝、桔梗、柴胡、枳壳、甘草,水煎服,活血化瘀，行气止痛,胸中血瘀证：胸痛，头痛，日久不愈，痛如针刺，舌黯有瘀斑,血瘀胸中，气机阻滞，血行不畅,君：桃仁、红花；臣：当归、川芎、赤芍；佐：柴胡、枳壳、牛膝；使：桔梗、甘草,活血兼行气，化瘀不伤正,要点：胸痛刺痛、舌黯；孕妇禁用
理血剂?活血逐瘀,通窍活血汤,赤芍、川芎、桃仁、红花、老葱、红枣、麝香、黄酒,水煎服,活血通窍,瘀阻头面：头痛昏晕，耳聋，脱发，面色青紫,瘀血阻滞头面清窍,君：麝香、桃仁、红花；臣：川芎、赤芍；佐：葱、枣、酒,活血通窍，上行头面,要点：头面瘀阻；孕妇禁用
理血剂?活血逐瘀,膈下逐瘀汤,五灵脂、当归、川芎、桃仁、丹皮、赤芍、乌药、延胡索、甘草、香附、红花、枳壳,水煎服,活血祛瘀，行气止痛,瘀阻膈下：胸腹胁痛，痛有定处，积块痞满,瘀血阻滞膈下，气机不畅,君：桃仁、红花、五灵脂；臣：当归、川芎、赤芍；佐：香附、乌药、延胡索,逐瘀止痛力强,要点：胁腹刺痛、积块
理血剂?活血逐瘀,少腹逐瘀汤,小茴香、干姜、延胡索、没药、当归、川芎、官桂、赤芍、蒲黄、五灵脂,水煎服,活血祛瘀，温经止痛,寒凝血瘀少腹：少腹积块，痛经，崩漏兼瘀块,寒凝血瘀，阻滞少腹冲任,君：蒲黄、五灵脂；臣：当归、川芎、赤芍；佐：官桂、小茴、干姜,温经活血，逐瘀止痛,要点：少腹冷痛、瘀块；热证禁用
理血剂?活血逐瘀,身痛逐瘀汤,秦艽、川芎、桃仁、红花、甘草、羌活、没药、当归、五灵脂、香附、牛膝、地龙,水煎服,活血行气，祛风除湿，通痹止痛,瘀血痹阻经络：肩痛，臂痛，腰痛，身痛，久痛不愈,瘀血阻滞经络，兼风湿痹阻,君：桃仁、红花、当归；臣：川芎、没药、五灵脂；佐：羌活、秦艽、牛膝、地龙,活血通络，兼祛风湿,要点：身痛久瘀、痛有定处
理血剂?活血调经,补阳还五汤,生黄芪、当归尾、赤芍、地龙、川芎、红花、桃仁,水煎服,补气，活血，通络,中风后遗症：半身不遂，口眼歪斜，语言謇涩，下肢痿废,气虚血瘀，脉络瘀阻，筋脉失养,君：黄芪；臣：当归尾；佐：赤芍、川芎、桃仁、红花、地龙,补气为主，活血通络,要点：半身不遂、气虚舌淡；阴虚阳亢慎用
理血剂?活血调经,复元活血汤,柴胡、瓜蒌根、当归、红花、甘草、穿山甲、大黄、桃仁,水煎服,活血祛瘀，疏肝通络,跌打损伤，瘀血阻滞胁下：胁肋疼痛，痛不可忍,跌打致瘀，肝气郁结，络脉不通,君：大黄、桃仁；臣：红花、当归、穿山甲；佐：柴胡、瓜蒌根；使：甘草,破瘀疏肝，通络止痛,要点：跌打胁痛；孕妇禁用
理血剂?活血调经,温经汤,吴茱萸、当归、芍药、川芎、人参、桂枝、阿胶、牡丹皮、生姜、甘草、半夏、麦冬,水煎服,温经散寒，养血祛瘀,冲任虚寒，瘀血阻滞：月经不调，痛经，崩漏，不孕,冲任虚寒，瘀血内阻，血不循经,君：吴茱萸、桂枝；臣：当归、川芎、芍药；佐：阿胶、麦冬、人参、丹皮；使：甘草、生姜、半夏,温经散寒，养血祛瘀,要点：月经后期、痛经、畏寒；血热禁用
理血剂?活血调经,生化汤,全当归、川芎、桃仁、干姜、甘草,水煎服或黄酒化服,养血祛瘀，温经止痛,产后瘀血腹痛：恶露不行，小腹冷痛,产后血虚，寒凝血瘀，胞宫失养,君：当归；臣：川芎、桃仁；佐：干姜；使：甘草,养血活血，温经止痛,要点：产后小腹冷痛、恶露不畅
理血剂?活血调经,失笑散,五灵脂、蒲黄各等分,黄酒或醋调服,活血祛瘀，散结止痛,瘀血停滞：心腹刺痛，产后恶露不行，月经不调,瘀血内停，脉络阻滞,君：五灵脂、蒲黄,活血祛瘀，散结止痛,要点：心腹刺痛、瘀阻；孕妇慎用
理血剂?活血散结,桂枝茯苓丸,桂枝、茯苓、牡丹皮、桃仁、芍药各等分,为丸服,活血化瘀，缓消癥块,瘀阻胞宫证：妇人素有癥块，妊娠漏下，胎动不安,瘀血阻滞胞宫，癥积内阻,君：桂枝；臣：桃仁、丹皮；佐：茯苓、芍药,缓消癥块，不伤正气,要点：胞宫瘀癥；孕妇慎用
理血剂?止血,十灰散,大蓟、小蓟、荷叶、侧柏叶、茅根、茜根、山栀、大黄、牡丹皮、棕榈皮,为散服,凉血止血,血热妄行：呕血，吐血，咯血，衄血，血色鲜红,火热炽盛，迫血妄行，血溢脉外,君：大蓟、小蓟；臣：侧柏、荷叶、茅根、茜根；佐：栀子、大黄、丹皮；使：棕榈皮,凉血止血，兼清降泻火,要点：血色鲜红、舌红脉数；虚寒出血禁用
理血剂?止血,咳血方,青黛、瓜蒌仁、海粉、山栀子、诃子,姜汁蜜丸服,清肝宁肺，凉血止血,肝火犯肺之咳血：咳嗽痰稠带血，心烦易怒，胸胁刺痛,肝火犯肺，灼伤肺络，肺失清肃,君：青黛、栀子；臣：瓜蒌仁、海粉；佐：诃子,清肝泻火，润肺止血,要点：咳血、胸胁痛；肺寒咳嗽禁用
理血剂?止血,小蓟饮子,生地、小蓟、滑石、木通、蒲黄、藕节、竹叶、当归、栀子、甘草,水煎服,凉血止血，利水通淋,热结下焦血淋、尿血：尿中带血，小便频数，赤涩热痛,下焦热盛，灼伤血络，膀胱气化不利,君：生地、小蓟；臣：蒲黄、藕节；佐：滑石、木通、竹叶、栀子、当归；使：甘草,凉血止血，利水通淋,要点：血淋涩痛、舌红；阴虚火旺慎用
理血剂?止血,槐花散,槐花、柏叶、荆芥穗、枳壳,为散服,清肠止血，疏风行气,风热湿毒，壅遏肠道：便血，痔血，血色鲜红,风热或湿热壅遏肠道，灼伤阴络,君：槐花；臣：柏叶；佐：荆芥穗、枳壳,清肠止血，疏风理气,要点：便血痔血、血色鲜红；虚寒便血禁用
理血剂?止血,黄土汤,甘草、干地黄、白术、附子、阿胶、黄芩、灶心黄土,水煎服,温阳健脾，养血止血,脾阳不足，脾不统血：大便下血，崩漏，血色暗淡，四肢不温,脾阳不足，统摄无权，血溢脉外,君：灶心黄土；臣：附子、白术；佐：生地、阿胶、黄芩；使：甘草,温阳健脾，养血止血,要点：血色暗淡、畏寒肢冷；血热出血禁用
治风剂?疏散外风,川芎茶调散,川芎、荆芥、白芷、羌活、甘草、细辛、防风、薄荷,食后茶清调服,疏风止痛,外感风邪头痛：偏正头痛，或巅顶作痛，恶寒发热，目眩鼻塞,风邪外袭，上扰头目，清阳被遏,君：川芎；臣：薄荷、荆芥；佐：羌活、白芷、细辛、防风；使：甘草,疏风散邪，升散止痛,要点：头痛、恶寒发热；血虚头痛慎用
治风剂?疏散外风,大秦艽汤,秦艽、甘草、川芎、当归、白芍、细辛、羌活、防风、黄芩、石膏、白芷、白术、生地、熟地、白茯苓、独活,水煎服,疏风清热，养血活血,风邪初中经络：口眼歪斜，舌强不能言，手足不能动,风邪乘虚入中经络，气血痹阻,君：秦艽；臣：羌活、独活、防风、白芷、细辛；佐：四物、二术、苓、膏、芩；使：甘草,祛风清热，养血活血,要点：口眼歪斜、手足不利；内风证忌用
治风剂?疏散外风,牵正散,白附子、白僵蚕、全蝎,热酒调服,祛风化痰，通络止痉,风中头面经络：口眼歪斜，面肌抽动,风痰阻于头面经络，筋脉失养,君：白附子；臣：僵蚕、全蝎,祛风化痰，通络止痉,要点：口眼歪斜；气虚血瘀慎用
治风剂?疏散外风,玉真散,南星、防风、白芷、天麻、羌活、白附子,热酒或童便调服,祛风化痰，定搐止痉,破伤风：牙关紧闭，口撮唇紧，身体强直，角弓反张,风毒侵入肌腠经脉，引动肝风,君：白附子、南星；臣：羌活、防风、白芷；佐：天麻,祛风定搐，化痰解痉,要点：破伤风强直；阴虚破伤风慎用
治风剂?平息内风,羚角钩藤汤,羚角片、霜桑叶、京川贝、鲜生地、双钩藤、滁菊花、茯神木、生白芍、生甘草、淡竹茹,水煎服,凉肝息风，增液舒筋,肝热生风证：高热不退，烦闷躁扰，手足抽搐，神昏,肝经热盛，热极动风，灼伤阴液,君：羚羊角、钩藤；臣：桑叶、菊花；佐：生地、白芍、竹茹、川贝、茯神；使：甘草,凉肝息风，养阴增液,要点：高热抽搐、神昏；虚寒痉证禁用
治风剂?平息内风,镇肝熄风汤,怀牛膝、生赭石、生龙骨、生牡蛎、生龟板、生杭芍、玄参、天冬、川楝子、生麦芽、茵陈、甘草,水煎服,镇肝息风，滋阴潜阳,类中风：头目眩晕，目胀耳鸣，脑部热痛，面色如醉，心中烦热,肝肾阴虚，肝阳上亢，气血逆乱,君：牛膝、赭石；臣：龙牡、龟板、芍、玄、冬；佐：茵陈、麦芽、川楝；使：甘草,镇肝潜阳，引血下行,要点：眩晕面赤、脉弦长有力；气虚血瘀慎用
治风剂?平息内风,天麻钩藤饮,天麻、钩藤、石决明、栀子、黄芩、牛膝、杜仲、益母草、桑寄生、夜交藤、朱茯神,水煎服,平肝息风，清热活血，补益肝肾,肝阳偏亢，肝风上扰：头痛，眩晕，失眠多梦,肝阳上亢，肝风上扰，心神不宁,君：天麻、钩藤；臣：石决明；佐：栀、芩、膝、仲、寄、益、夜、茯,平肝息风，兼补肝肾,要点：头痛眩晕、失眠；虚寒证慎用
治风剂?平息内风,大定风珠,白芍、阿胶、生龟板、干地黄、麻仁、五味子、生牡蛎、麦冬、炙甘草、鸡子黄、鳖甲,水煎服,滋阴息风,阴虚动风证：温病后期，神倦瘛疭，脉气虚弱，舌绛苔少,温病日久，真阴大亏，虚风内动,君：鸡子黄、阿胶；臣：龟板、鳖甲、牡蛎；佐：地、芍、冬、味、麻；使：甘草,滋阴养液，填补真阴,要点：神倦瘛疭、舌绛少苔；实证风动禁用
治燥剂?轻宣外燥,杏苏散,苏叶、半夏、茯苓、前胡、桔梗、枳壳、甘草、生姜、大枣、杏仁、橘皮,水煎服,轻宣凉燥，理肺化痰,外感凉燥证：恶寒无汗，头微痛，咳嗽稀痰，鼻塞咽干,凉燥外袭，肺失宣降，痰湿内阻,君：苏叶、杏仁；臣：前胡、桔梗、枳壳；佐：夏、苓、橘；使：草、姜、枣,轻宣凉燥，宣肺化痰,要点：恶寒咳嗽、痰稀；温燥咳嗽禁用
治燥剂?轻宣外燥,桑杏汤,桑叶、杏仁、沙参、象贝、香豉、栀皮、梨皮,水煎服,清宣温燥，润肺止咳,外感温燥证：身热不甚，口渴，咽干鼻燥，干咳无痰,温燥伤肺，肺失清润,君：桑叶、杏仁；臣：豆豉、栀皮；佐：沙参、贝母、梨皮,清宣温燥，养阴润肺,要点：干咳咽干、身热不甚
治燥剂?滋阴润燥,清燥救肺汤,桑叶、石膏、人参、甘草、胡麻仁、阿胶、麦冬、杏仁、枇杷叶,水煎服,清燥润肺，养阴益气,温燥伤肺，气阴两伤：头痛身热，干咳无痰，气逆而喘,燥热伤肺，耗气伤阴，肺失肃降,君：桑叶；臣：石膏、麦冬；佐：参、胶、麻、杏、杷；使：甘草,清燥润肺，益气养阴,要点：干咳气喘、咽干鼻燥
治燥剂?滋阴润燥,麦门冬汤,麦门冬、半夏、人参、甘草、粳米、大枣,水煎服,滋养肺胃，降逆下气,虚热肺痿：咳嗽气喘，咽喉不利，痰少黏稠；胃阴不足证,肺胃阴虚，虚火上炎，气机上逆,君：麦冬；臣：半夏；佐：人参、粳米、大枣；使：甘草,滋阴润燥，降逆化痰,要点：咳嗽咽干、虚热；虚寒肺痿禁用
治燥剂?滋阴润燥,益胃汤,沙参、麦冬、冰糖、细生地、玉竹,水煎服,养阴益胃,阳明温病，胃阴损伤：口干咽燥，舌红少苔，脉细数,温病耗伤胃阴，胃失濡养,君：生地、麦冬；臣：沙参、玉竹；佐：冰糖,养阴生津，益胃和中,要点：口干咽燥、舌红少苔
祛湿剂?燥湿和胃,平胃散,苍术、厚朴、陈皮、甘草、生姜、大枣,水煎服,燥湿运脾，行气和胃,湿滞脾胃证：脘腹胀满，不思饮食，口淡无味，恶心呕吐,湿困脾胃，运化失司，气机阻滞,君：苍术；臣：厚朴；佐：陈皮；使：草、姜、枣,燥湿健脾，行气除满,要点：脘腹胀满、苔白腻；阴虚气滞慎用
祛湿剂?燥湿和胃,藿香正气散,大腹皮、白芷、紫苏、茯苓、半夏曲、白术、陈皮、厚朴、桔梗、藿香、甘草、姜枣,水煎服,解表化湿，理气和中,外感风寒，内伤湿滞：恶寒发热，头痛，胸膈满闷，脘腹疼痛,风寒束表，湿滞脾胃，气机不和,君：藿香；臣：苏、芷、夏、术、苓；佐：朴、陈、腹、桔；使：草、姜、枣,解表化湿，理气和中,要点：寒热头痛、脘腹胀痛；湿热霍乱禁用
祛湿剂?清热祛湿,茵陈蒿汤,茵陈、栀子、大黄,水煎服,清热，利湿，退黄,湿热黄疸：一身面目俱黄，黄色鲜明，小便短赤,湿热蕴结肝胆，胆汁外溢,君：茵陈；臣：栀子、大黄,清热利湿，导热下行,要点：黄疸鲜明、小便短赤；寒湿黄疸禁用
祛湿剂?清热祛湿,八正散,车前子、瞿麦、萹蓄、滑石、山栀子仁、甘草、木通、大黄,水煎服,清热泻火，利水通淋,湿热淋证：尿频尿急，溺时涩痛，淋沥不畅，小便浑赤,湿热下注膀胱，气化不利,君：滑石、木通；臣：车前、瞿麦、萹蓄；佐：栀、大黄；使：甘草,清热利水，通淋止痛,要点：尿频涩痛、苔黄腻；阴虚淋证禁用
祛湿剂?清热祛湿,三仁汤,杏仁、飞滑石、白通草、白蔻仁、竹叶、厚朴、生薏苡仁、半夏,水煎服,宣畅气机，清利湿热,湿温初起及暑温夹湿：头痛恶寒，身重疼痛，午后身热,湿温初起，湿遏热伏，气机不畅,君：杏仁、蔻仁、苡仁；臣：滑石、通草、竹叶；佐：厚朴、半夏,宣上畅中渗下，分消湿热,要点：身重午后热、苔白腻
祛湿剂?利水渗湿,五苓散,猪苓、泽泻、白术、茯苓、桂枝,水煎服,利水渗湿，温阳化气,膀胱气化不利蓄水证：小便不利，头痛微热，烦渴欲饮,水湿内停，膀胱气化失司,君：泽泻；臣：苓、猪苓；佐：白术、桂枝,利水渗湿，温阳化气,要点：小便不利、水肿
祛湿剂?利水渗湿,猪苓汤,猪苓、茯苓、泽泻、阿胶、滑石,水煎服,利水，养阴，清热,水热互结证：小便不利，发热，口渴欲饮，心烦不寐,水热互结，热伤阴津,君：猪苓；臣：茯苓、泽泻；佐：滑石、阿胶,利水清热，养阴润燥,要点：小便不利、口渴心烦
祛湿剂?温化寒湿,苓桂术甘汤,茯苓、桂枝、白术、甘草,水煎服,温阳化饮，健脾利湿,中阳不足之痰饮：胸胁支满，目眩心悸，短气而咳,中阳不足，痰饮内停，清阳不升,君：茯苓；臣：桂枝；佐：白术；使：甘草,温阳健脾，利水化饮,要点：胸胁支满、心悸目眩
祛湿剂?温化寒湿,真武汤,茯苓、芍药、白术、生姜、附子,水煎服,温阳利水,阳虚水泛证：畏寒肢冷，小便不利，肢体沉重或浮肿,肾阳不足，水气内停，脾失健运,君：附子；臣：茯苓、白术；佐：生姜、芍药,温肾健脾，利水渗湿,要点：畏寒浮肿、小便不利
祛湿剂?温化寒湿,实脾散,厚朴、白术、木瓜、木香、草果仁、大腹子、附子、白茯苓、干姜、甘草、姜枣,水煎服,温阳健脾，行气利水,脾肾阳虚，水气内停：身半以下肿甚，手足不温，脘腹胀满,脾肾阳虚，水湿内停，气机阻滞,君：附子、干姜；臣：苓、术；佐：朴、香、果、腹、瓜；使：草、姜、枣,温脾暖肾，行气利水,要点：下肢肿甚、手足不温
祛湿剂?祛风胜湿,羌活胜湿汤,羌活、独活、藁本、防风、甘草、川芎、蔓荆子,水煎服,祛风，胜湿，止痛,风湿在表之痹证：肩背痛不可回顾，头痛身重，腰脊疼痛,风湿客于肌表经络，气血不畅,君：羌活、独活；臣：防风、藁本；佐：川芎、蔓荆子；使：甘草,祛风胜湿，通络止痛,要点：身重头痛、风湿痹痛
祛湿剂?祛风胜湿,独活寄生汤,独活、桑寄生、杜仲、牛膝、细辛、秦艽、茯苓、肉桂心、防风、川芎、人参、甘草、当归、芍药、干地黄,水煎服,祛风湿，止痹痛，益肝肾，补气血,痹证日久，肝肾两虚，气血不足：腰膝疼痛，肢节屈伸不利,痹久伤正，肝肾亏虚，气血不足,君：独活；臣：寄生、杜、牛；佐：辛、艽、防、桂、四物、参、苓；使：甘草,祛邪扶正，标本兼顾,要点：腰膝痹痛、日久体虚
祛痰剂?燥湿化痰,二陈汤,半夏、橘红、白茯苓、甘草、生姜、乌梅,水煎服,燥湿化痰，理气和中,湿痰证：咳嗽痰多，色白易咯，胸膈痞闷，恶心呕吐,湿痰内阻，肺胃失和，气机不畅,君：半夏；臣：橘红；佐：茯苓、生姜、乌梅；使：甘草,燥湿化痰，理气和中,要点：痰多色白、苔白腻；燥痰禁用
